,"{'hidden_activation': 'tanh', 'hidden_neurons': [2, 1], 'use_ae': True}"
best_classifier_training_time,327.6216830249996
best_classifier_inference_time,41.23378596099974
best_classifier_recall,0.0
best_classifier_precision,0.0
best_classifier_f1,0.0
best_classifier_TN,850738
best_classifier_FP,3923
best_classifier_FN,198
best_classifier_TP,0
best_classifier_auc,0.6482811886700095
best_classifier_p_auc_10,0.5366355525592403
best_classifier_p_auc_20,0.5596588257221792
best_classifier_p_auc_30,0.5805688610852406
training_time_avg,140.3384569124002
inference_time_avg,37.66287590200045
auc_avg,0.5433084863383544
auc_std,0.05534253462361984
p_auc_10_avg,0.52306629951535
p_auc_10_std,0.017555282260858476
p_auc_20_avg,0.5266898505330402
p_auc_20_std,0.025466633060536203
p_auc_30_avg,0.5278474618459019
p_auc_30_std,0.03287051905171633
recall_avg,0.01616161616161616
recall_std,0.019793856507338812
