,"{'n_bins': 8, 'n_random_cuts': 100}"
best_classifier_training_time,37.30747830500195
best_classifier_inference_time,10.213081400000647
best_classifier_recall,0.04040404040404041
best_classifier_precision,0.0009436187780136825
best_classifier_f1,0.0018441678192715537
best_classifier_TN,846191
best_classifier_FP,8470
best_classifier_FN,190
best_classifier_TP,8
best_classifier_auc,0.7797414041144012
best_classifier_p_auc_10,0.5287714117783954
best_classifier_p_auc_20,0.5669365025874995
best_classifier_p_auc_30,0.6275462187546903
training_time_avg,37.30747830500195
inference_time_avg,10.213081400000647
auc_avg,0.7797414041144012
auc_std,0.0
p_auc_10_avg,0.5287714117783954
p_auc_10_std,0.0
p_auc_20_avg,0.5669365025874995
p_auc_20_std,0.0
p_auc_30_avg,0.6275462187546903
p_auc_30_std,0.0
recall_avg,0.04040404040404041
recall_std,0.0
