,"{'n_components': 4, 'standardization': True, 'svd_solver': 'full', 'weighted': False, 'whiten': True}"
best_classifier_training_time,0.7482684430069639
best_classifier_inference_time,0.5263101929958793
best_classifier_recall,0.14646464646464646
best_classifier_precision,0.0024060399900439726
best_classifier_f1,0.004734307403477267
best_classifier_TN,842637
best_classifier_FP,12024
best_classifier_FN,169
best_classifier_TP,29
best_classifier_auc,0.704811878332432
best_classifier_p_auc_10,0.6512175872330305
best_classifier_p_auc_20,0.6665553598097612
best_classifier_p_auc_30,0.6940943035318121
training_time_avg,0.7364021742032492
inference_time_avg,0.5213348566016066
auc_avg,0.704811878332432
auc_std,0.0
p_auc_10_avg,0.6512175872330305
p_auc_10_std,0.0
p_auc_20_avg,0.6665553598097612
p_auc_20_std,0.0
p_auc_30_avg,0.6940943035318121
p_auc_30_std,0.0
recall_avg,0.14646464646464646
recall_std,0.0
