,"{'n_bins': 6, 'n_random_cuts': 50}"
best_classifier_training_time,3.9431587149992993
best_classifier_inference_time,0.8649895869991724
best_classifier_recall,0.04230769230769231
best_classifier_precision,0.01694915254237288
best_classifier_f1,0.024202420242024205
best_classifier_TN,65352
best_classifier_FP,638
best_classifier_FN,249
best_classifier_TP,11
best_classifier_auc,0.815376805343467
best_classifier_p_auc_10,0.5567384458324872
best_classifier_p_auc_20,0.5920937256745713
best_classifier_p_auc_30,0.6619748135886945
training_time_avg,3.9431587149992993
inference_time_avg,0.8649895869991724
auc_avg,0.815376805343467
auc_std,0.0
p_auc_10_avg,0.5567384458324872
p_auc_10_std,0.0
p_auc_20_avg,0.5920937256745713
p_auc_20_std,0.0
p_auc_30_avg,0.6619748135886945
p_auc_30_std,0.0
recall_avg,0.04230769230769231
recall_std,0.0
