,"{'max_samples': 256, 'n_estimators': 100}"
best_classifier_training_time,341.32196365300024
best_classifier_inference_time,62.92493700900377
best_classifier_recall,0.48484848484848486
best_classifier_precision,0.010201912858660999
best_classifier_f1,0.019983347210657785
best_classifier_TN,465835
best_classifier_FP,4657
best_classifier_FN,51
best_classifier_TP,48
best_classifier_auc,0.9568762942072159
best_classifier_p_auc_10,0.8585420414115303
best_classifier_p_auc_20,0.8943757795466929
best_classifier_p_auc_30,0.9164880270203808
training_time_avg,341.04061246980257
inference_time_avg,62.943848463589894
auc_avg,0.953752409792045
auc_std,0.0017565582758668151
p_auc_10_avg,0.8550625568638516
p_auc_10_std,0.0018423598199119272
p_auc_20_avg,0.8883454860963511
p_auc_20_std,0.0035059218856887536
p_auc_30_avg,0.9123460924526743
p_auc_30_std,0.0025997558885683773
recall_avg,0.48888888888888893
recall_std,0.008080808080808088
