,{}
best_classifier_training_time,0.9913736280068406
best_classifier_inference_time,1.715378246997716
best_classifier_recall,0.04040404040404041
best_classifier_precision,0.0009644364074743822
best_classifier_f1,0.0018839043918521137
best_classifier_TN,846374
best_classifier_FP,8287
best_classifier_FN,190
best_classifier_TP,8
best_classifier_auc,0.585461727580357
best_classifier_p_auc_10,0.5380229473970023
best_classifier_p_auc_20,0.5620343219786157
best_classifier_p_auc_30,0.5672661137527654
training_time_avg,0.9913736280068406
inference_time_avg,1.715378246997716
auc_avg,0.585461727580357
auc_std,0.0
p_auc_10_avg,0.5380229473970023
p_auc_10_std,0.0
p_auc_20_avg,0.5620343219786157
p_auc_20_std,0.0
p_auc_30_avg,0.5672661137527654
p_auc_30_std,0.0
recall_avg,0.04040404040404041
recall_std,0.0
