,"{'n_bins': 12, 'n_random_cuts': 25}"
best_classifier_training_time,1.1995994499957305
best_classifier_inference_time,0.7766093980026199
best_classifier_recall,0.45454545454545453
best_classifier_precision,0.008135960947387453
best_classifier_f1,0.015985790408525755
best_classifier_TN,465006
best_classifier_FP,5486
best_classifier_FN,54
best_classifier_TP,45
best_classifier_auc,0.932313654985879
best_classifier_p_auc_10,0.7792485738781885
best_classifier_p_auc_20,0.8468830555702739
best_classifier_p_auc_30,0.8719295924299348
training_time_avg,1.1995994499957305
inference_time_avg,0.7766093980026199
auc_avg,0.932313654985879
auc_std,0.0
p_auc_10_avg,0.7792485738781885
p_auc_10_std,0.0
p_auc_20_avg,0.8468830555702739
p_auc_20_std,0.0
p_auc_30_avg,0.8719295924299348
p_auc_30_std,0.0
recall_avg,0.45454545454545453
recall_std,0.0
