,"{'alpha': 0.2, 'beta': 2, 'n_clusters': 2, 'use_weights': False}"
best_classifier_training_time,0.8404775889999883
best_classifier_inference_time,0.1729422150000346
best_classifier_recall,0.0111731843575419
best_classifier_precision,0.010526315789473684
best_classifier_f1,0.01084010840108401
best_classifier_TN,18713
best_classifier_FP,188
best_classifier_FN,177
best_classifier_TP,2
best_classifier_auc,0.6692381857954961
best_classifier_p_auc_10,0.48833116599233123
best_classifier_p_auc_20,0.5101371250264085
best_classifier_p_auc_30,0.5456086402871182
training_time_avg,0.8143769315998497
inference_time_avg,0.16847718580004312
auc_avg,0.6706078629637107
auc_std,0.002079335036045431
p_auc_10_avg,0.48819159413724156
p_auc_10_std,9.5686057211889e-05
p_auc_20_avg,0.5084541423341741
p_auc_20_std,0.0011246714791695333
p_auc_30_avg,0.5451438631912194
p_auc_30_std,0.0010511575647545273
recall_avg,0.0111731843575419
recall_std,0.0
