,"{'n_bins': 12, 'n_random_cuts': 75}"
best_classifier_training_time,6.836883388998103
best_classifier_inference_time,4.5903941610013135
best_classifier_recall,0.050505050505050504
best_classifier_precision,0.003943217665615142
best_classifier_f1,0.0073152889539136795
best_classifier_TN,852135
best_classifier_FP,2526
best_classifier_FN,188
best_classifier_TP,10
best_classifier_auc,0.6007303102361845
best_classifier_p_auc_10,0.5582114276285354
best_classifier_p_auc_20,0.5800122841546282
best_classifier_p_auc_30,0.5894893564626669
training_time_avg,6.836883388998103
inference_time_avg,4.5903941610013135
auc_avg,0.6007303102361845
auc_std,0.0
p_auc_10_avg,0.5582114276285354
p_auc_10_std,0.0
p_auc_20_avg,0.5800122841546282
p_auc_20_std,0.0
p_auc_30_avg,0.5894893564626669
p_auc_30_std,0.0
recall_avg,0.050505050505050504
recall_std,0.0
