,"{'alpha': 0.2, 'beta': 2, 'n_clusters': 2, 'use_weights': True}"
best_classifier_training_time,0.7839130979998572
best_classifier_inference_time,0.1607621790005851
best_classifier_recall,0.1576923076923077
best_classifier_precision,0.05742296918767507
best_classifier_f1,0.08418891170431211
best_classifier_TN,65317
best_classifier_FP,673
best_classifier_FN,219
best_classifier_TP,41
best_classifier_auc,0.8153013277069951
best_classifier_p_auc_10,0.6196077578982485
best_classifier_p_auc_20,0.6455139052407578
best_classifier_p_auc_30,0.6857530975601449
training_time_avg,1.132684523999842
inference_time_avg,0.19329373739983566
auc_avg,0.8151955307913786
auc_std,5.28984578082703e-05
p_auc_10_avg,0.6196077578982485
p_auc_10_std,0.0
p_auc_20_avg,0.6455139052407578
p_auc_20_std,0.0
p_auc_30_avg,0.6858575971449579
p_auc_30_std,5.224979240652239e-05
recall_avg,0.1576923076923077
recall_std,0.0
