,"{'n_components': 1, 'standardization': True, 'svd_solver': 'full', 'weighted': True, 'whiten': True}"
best_classifier_training_time,9.702453532023355
best_classifier_inference_time,2.9477785819999553
best_classifier_recall,0.7575757575757576
best_classifier_precision,0.01594387755102041
best_classifier_f1,0.03123048094940662
best_classifier_TN,465863
best_classifier_FP,4629
best_classifier_FN,24
best_classifier_TP,75
best_classifier_auc,0.9879802484001917
best_classifier_p_auc_10,0.9367381494746936
best_classifier_p_auc_20,0.966611801111644
best_classifier_p_auc_30,0.9764318596082191
training_time_avg,10.079148547798832
inference_time_avg,3.047540616789047
auc_avg,0.9879802484001917
auc_std,0.0
p_auc_10_avg,0.9367381494746937
p_auc_10_std,1.1102230246251565e-16
p_auc_20_avg,0.966611801111644
p_auc_20_std,0.0
p_auc_30_avg,0.9764318596082191
p_auc_30_std,0.0
recall_avg,0.7575757575757576
recall_std,0.0
