,{}
best_classifier_training_time,1.0060294790018816
best_classifier_inference_time,1.6837670339991746
best_classifier_recall,0.04040404040404041
best_classifier_precision,0.0009044657998869418
best_classifier_f1,0.001769324339267942
best_classifier_TN,845824
best_classifier_FP,8837
best_classifier_FN,190
best_classifier_TP,8
best_classifier_auc,0.5902068661188945
best_classifier_p_auc_10,0.5203454836092491
best_classifier_p_auc_20,0.5441117584717016
best_classifier_p_auc_30,0.5485763355135399
training_time_avg,1.0060294790018816
inference_time_avg,1.6837670339991746
auc_avg,0.5902068661188945
auc_std,0.0
p_auc_10_avg,0.5203454836092491
p_auc_10_std,0.0
p_auc_20_avg,0.5441117584717016
p_auc_20_std,0.0
p_auc_30_avg,0.5485763355135399
p_auc_30_std,0.0
recall_avg,0.04040404040404041
recall_std,0.0
