,"{'n_bins': 6, 'n_random_cuts': 50}"
best_classifier_training_time,2.3441980209972826
best_classifier_inference_time,1.462866441001097
best_classifier_recall,0.0
best_classifier_precision,0.0
best_classifier_f1,0.0
best_classifier_TN,470491
best_classifier_FP,1
best_classifier_FN,99
best_classifier_TP,0
best_classifier_auc,0.6882263028850006
best_classifier_p_auc_10,0.5704652502553199
best_classifier_p_auc_20,0.5628633938637084
best_classifier_p_auc_30,0.5848675507003135
training_time_avg,2.3441980209972826
inference_time_avg,1.462866441001097
auc_avg,0.6882263028850006
auc_std,0.0
p_auc_10_avg,0.5704652502553199
p_auc_10_std,0.0
p_auc_20_avg,0.5628633938637084
p_auc_20_std,0.0
p_auc_30_avg,0.5848675507003135
p_auc_30_std,0.0
recall_avg,0.0
recall_std,0.0
