,"{'alpha': 0.6, 'beta': 4, 'n_clusters': 4, 'use_weights': False}"
best_classifier_training_time,31.502820335015713
best_classifier_inference_time,3.857940743881045
best_classifier_recall,0.020202020202020204
best_classifier_precision,0.00042498937526561835
best_classifier_f1,0.0008324661810613943
best_classifier_TN,465788
best_classifier_FP,4704
best_classifier_FN,97
best_classifier_TP,2
best_classifier_auc,0.794086452548233
best_classifier_p_auc_10,0.7387164199799752
best_classifier_p_auc_20,0.7526727233395997
best_classifier_p_auc_30,0.7484481914935442
training_time_avg,31.544074387458387
inference_time_avg,3.82185171800229
auc_avg,0.7972165393681594
auc_std,0.001815192812660633
p_auc_10_avg,0.7360233259142218
p_auc_10_std,0.0020826307624432633
p_auc_20_avg,0.7522867052855519
p_auc_20_std,0.0016304042685883725
p_auc_30_avg,0.749724636870058
p_auc_30_std,0.0013027697261197163
recall_avg,0.020202020202020204
recall_std,0.0
