,"{'alpha': 0.6, 'beta': 2, 'n_clusters': 4, 'use_weights': True}"
best_classifier_training_time,3.394613380994997
best_classifier_inference_time,0.36296015099651413
best_classifier_recall,0.04040404040404041
best_classifier_precision,0.0009644364074743822
best_classifier_f1,0.0018839043918521137
best_classifier_TN,846374
best_classifier_FP,8287
best_classifier_FN,190
best_classifier_TP,8
best_classifier_auc,0.5111992510847144
best_classifier_p_auc_10,0.5105482070064333
best_classifier_p_auc_20,0.500833564832845
best_classifier_p_auc_30,0.5009207863810312
training_time_avg,3.3953730968001765
inference_time_avg,0.36931954940082506
auc_avg,0.5111992510847144
auc_std,0.0
p_auc_10_avg,0.5105482070064333
p_auc_10_std,0.0
p_auc_20_avg,0.500833564832845
p_auc_20_std,0.0
p_auc_30_avg,0.5009207863810312
p_auc_30_std,0.0
recall_avg,0.04040404040404041
recall_std,0.0
