,"{'n_bins': 8, 'n_random_cuts': 100}"
best_classifier_training_time,1.855786561003697
best_classifier_inference_time,0.702439903985578
best_classifier_recall,0.28421052631578947
best_classifier_precision,0.06283941039565555
best_classifier_f1,0.10292249047013978
best_classifier_TN,131007
best_classifier_FP,1208
best_classifier_FN,204
best_classifier_TP,81
best_classifier_auc,0.897218631800543
best_classifier_p_auc_10,0.7484284477607177
best_classifier_p_auc_20,0.7951312186044392
best_classifier_p_auc_30,0.8184617898613262
training_time_avg,1.855786561003697
inference_time_avg,0.702439903985578
auc_avg,0.897218631800543
auc_std,0.0
p_auc_10_avg,0.7484284477607177
p_auc_10_std,0.0
p_auc_20_avg,0.7951312186044392
p_auc_20_std,0.0
p_auc_30_avg,0.8184617898613262
p_auc_30_std,0.0
recall_avg,0.28421052631578947
recall_std,0.0
