,"{'hidden_activation': 'tanh', 'hidden_neurons': [64, 32], 'use_ae': False}"
best_classifier_training_time,63.498430601997825
best_classifier_inference_time,21.95288118699864
best_classifier_recall,0.12121212121212122
best_classifier_precision,0.0025499362515937103
best_classifier_f1,0.004994797086368367
best_classifier_TN,465798
best_classifier_FP,4694
best_classifier_FN,87
best_classifier_TP,12
best_classifier_auc,0.7515118173737236
best_classifier_p_auc_10,0.6291306929789736
best_classifier_p_auc_20,0.6751338377373819
best_classifier_p_auc_30,0.6890060608303489
training_time_avg,60.52274556580123
inference_time_avg,26.397530941000515
auc_avg,0.704440086659338
auc_std,0.05681881116322723
p_auc_10_avg,0.6133312174354542
p_auc_10_std,0.008502991221235436
p_auc_20_avg,0.6537413642111136
p_auc_20_std,0.0177839474964497
p_auc_30_avg,0.6665182432164279
p_auc_30_std,0.026872751371282956
recall_avg,0.10909090909090909
recall_std,0.03463924888784293
