,"{'n_components': 4, 'standardization': True, 'svd_solver': 'full', 'weighted': False, 'whiten': True}"
best_classifier_training_time,13.887664432022575
best_classifier_inference_time,5.281521226017503
best_classifier_recall,0.25252525252525254
best_classifier_precision,0.005842486562280907
best_classifier_f1,0.011420740063956143
best_classifier_TN,846153
best_classifier_FP,8508
best_classifier_FN,148
best_classifier_TP,50
best_classifier_auc,0.7697214202916465
best_classifier_p_auc_10,0.6280732580129589
best_classifier_p_auc_20,0.6706928388515201
best_classifier_p_auc_30,0.6947968460952935
training_time_avg,13.887664432022575
inference_time_avg,5.281521226017503
auc_avg,0.7697214202916465
auc_std,0.0
p_auc_10_avg,0.6280732580129589
p_auc_10_std,0.0
p_auc_20_avg,0.6706928388515201
p_auc_20_std,0.0
p_auc_30_avg,0.6947968460952935
p_auc_30_std,0.0
recall_avg,0.25252525252525254
recall_std,0.0
