,"{'n_components': 1, 'standardization': False, 'svd_solver': 'full', 'weighted': True, 'whiten': True}"
best_classifier_training_time,0.06594090999988111
best_classifier_inference_time,0.027537704999758716
best_classifier_recall,0.029574861367837338
best_classifier_precision,0.003205128205128205
best_classifier_f1,0.0057834809325862995
best_classifier_TN,524218
best_classifier_FP,4976
best_classifier_FN,525
best_classifier_TP,16
best_classifier_auc,0.8047338994801126
best_classifier_p_auc_10,0.6882055562707937
best_classifier_p_auc_20,0.7621210723667811
best_classifier_p_auc_30,0.7858522749883459
training_time_avg,0.0662075367999023
inference_time_avg,0.02729600180000489
auc_avg,0.8047338994801126
auc_std,0.0
p_auc_10_avg,0.6882055562707937
p_auc_10_std,0.0
p_auc_20_avg,0.7621210723667811
p_auc_20_std,0.0
p_auc_30_avg,0.7858522749883459
p_auc_30_std,0.0
recall_avg,0.029574861367837334
recall_std,3.469446951953614e-18
