,"{'n_bins': 8, 'n_random_cuts': 100}"
best_classifier_training_time,5.817990396998766
best_classifier_inference_time,0.9857719359981729
best_classifier_recall,0.05027932960893855
best_classifier_precision,0.04639175257731959
best_classifier_f1,0.0482573726541555
best_classifier_TN,18716
best_classifier_FP,185
best_classifier_FN,170
best_classifier_TP,9
best_classifier_auc,0.7685304699967103
best_classifier_p_auc_10,0.5394626586251168
best_classifier_p_auc_20,0.5648666574645484
best_classifier_p_auc_30,0.5994434659973589
training_time_avg,5.817990396998766
inference_time_avg,0.9857719359981729
auc_avg,0.7685304699967103
auc_std,0.0
p_auc_10_avg,0.5394626586251168
p_auc_10_std,0.0
p_auc_20_avg,0.5648666574645484
p_auc_20_std,0.0
p_auc_30_avg,0.5994434659973589
p_auc_30_std,0.0
recall_avg,0.05027932960893855
recall_std,0.0
