,"{'max_samples': 4096, 'n_estimators': 100}"
best_classifier_training_time,18.444574596000166
best_classifier_inference_time,4.599427839020791
best_classifier_recall,0.03773584905660377
best_classifier_precision,0.020737327188940093
best_classifier_f1,0.026765799256505577
best_classifier_TN,263673
best_classifier_FP,850
best_classifier_FN,459
best_classifier_TP,18
best_classifier_auc,0.2366457321053772
best_classifier_p_auc_10,0.493161221600662
best_classifier_p_auc_20,0.4652061583605171
best_classifier_p_auc_30,0.43381921944205204
training_time_avg,17.82864957880083
inference_time_avg,4.497675594610337
auc_avg,0.23293641778570756
auc_std,0.0024408060796433694
p_auc_10_avg,0.49208995270512357
p_auc_10_std,0.0009554847803489646
p_auc_20_avg,0.4640584230937884
p_auc_20_std,0.001025143883802674
p_auc_30_avg,0.4325979874775573
p_auc_30_std,0.0010912986890685864
recall_avg,0.03563941299790356
recall_std,0.0018751094150941618
