,"{'hidden_activation': 'tanh', 'hidden_neurons': [64, 32], 'use_ae': False}"
best_classifier_training_time,56.11159685200255
best_classifier_inference_time,20.53153593299794
best_classifier_recall,0.15151515151515152
best_classifier_precision,0.00318945354029343
best_classifier_f1,0.006247396917950855
best_classifier_TN,465804
best_classifier_FP,4688
best_classifier_FN,84
best_classifier_TP,15
best_classifier_auc,0.9500805389449617
best_classifier_p_auc_10,0.7876882874647813
best_classifier_p_auc_20,0.8657070772909088
best_classifier_p_auc_30,0.9021187038136504
training_time_avg,60.761322481802196
inference_time_avg,12.86296187400003
auc_avg,0.8949270233085898
auc_std,0.0870143702489477
p_auc_10_avg,0.7568590646271479
p_auc_10_std,0.019939802191357468
p_auc_20_avg,0.8233092718386837
p_auc_20_std,0.041692105124292
p_auc_30_avg,0.855208966833044
p_auc_30_std,0.05293974857225315
recall_avg,0.09292929292929293
recall_std,0.03636363636363636
