,{}
best_classifier_training_time,0.3502572340039478
best_classifier_inference_time,0.16959510399829014
best_classifier_recall,0.1423076923076923
best_classifier_precision,0.05489614243323442
best_classifier_f1,0.07922912205567452
best_classifier_TN,65353
best_classifier_FP,637
best_classifier_FN,223
best_classifier_TP,37
best_classifier_auc,0.8608911315234243
best_classifier_p_auc_10,0.5950883246326735
best_classifier_p_auc_20,0.690864923201262
best_classifier_p_auc_30,0.7465764304956417
training_time_avg,0.3502572340039478
inference_time_avg,0.16959510399829014
auc_avg,0.8608911315234243
auc_std,0.0
p_auc_10_avg,0.5950883246326735
p_auc_10_std,0.0
p_auc_20_avg,0.690864923201262
p_auc_20_std,0.0
p_auc_30_avg,0.7465764304956417
p_auc_30_std,0.0
recall_avg,0.1423076923076923
recall_std,0.0
