,"{'n_components': 1, 'standardization': True, 'svd_solver': 'full', 'weighted': True, 'whiten': True}"
best_classifier_training_time,0.34363559999951576
best_classifier_inference_time,0.12273402399978295
best_classifier_recall,0.1320754716981132
best_classifier_precision,0.023764617125612977
best_classifier_f1,0.04028132992327366
best_classifier_TN,261935
best_classifier_FP,2588
best_classifier_FN,414
best_classifier_TP,63
best_classifier_auc,0.8982447548025431
best_classifier_p_auc_10,0.6367869656758047
best_classifier_p_auc_20,0.7346470873200142
best_classifier_p_auc_30,0.8007382092518766
training_time_avg,0.403279197999791
inference_time_avg,0.13945561079985963
auc_avg,0.898244754802543
auc_std,1.1102230246251565e-16
p_auc_10_avg,0.6367869656758047
p_auc_10_std,0.0
p_auc_20_avg,0.7346470873200142
p_auc_20_std,0.0
p_auc_30_avg,0.8007382092518766
p_auc_30_std,0.0
recall_avg,0.1320754716981132
recall_std,0.0
