,"{'max_samples': 4096, 'n_estimators': 50}"
best_classifier_training_time,2.4279863749998185
best_classifier_inference_time,1.0589953070002593
best_classifier_recall,0.011538461538461539
best_classifier_precision,0.004524886877828055
best_classifier_f1,0.0065005417118093175
best_classifier_TN,65330
best_classifier_FP,660
best_classifier_FN,257
best_classifier_TP,3
best_classifier_auc,0.8382053224847585
best_classifier_p_auc_10,0.6111739111495853
best_classifier_p_auc_20,0.673465806137423
best_classifier_p_auc_30,0.7339890156582525
training_time_avg,2.4581643184001223
inference_time_avg,1.068861348399878
auc_avg,0.8445688449298846
auc_std,0.0044591393442918945
p_auc_10_avg,0.604882809504323
p_auc_10_std,0.004774693188864681
p_auc_20_avg,0.6701815012370533
p_auc_20_std,0.005238442675299633
p_auc_30_avg,0.7266862309186463
p_auc_30_std,0.005159409419913599
recall_avg,0.01076923076923077
recall_std,0.0015384615384615387
