,"{'n_components': 2, 'standardization': True, 'svd_solver': 'full', 'weighted': False, 'whiten': True}"
best_classifier_training_time,3.2837142479729664
best_classifier_inference_time,1.3174074960079452
best_classifier_recall,0.44266666666666665
best_classifier_precision,0.01567121908238404
best_classifier_f1,0.030270795976050816
best_classifier_TN,3145740
best_classifier_FP,31280
best_classifier_FN,627
best_classifier_TP,498
best_classifier_auc,0.9901296216790157
best_classifier_p_auc_10,0.9480506404158724
best_classifier_p_auc_20,0.9725822824417105
best_classifier_p_auc_30,0.980646317017678
training_time_avg,3.2655434208027145
inference_time_avg,1.3103032062135753
auc_avg,0.9901296216790157
auc_std,0.0
p_auc_10_avg,0.9480506404158724
p_auc_10_std,0.0
p_auc_20_avg,0.9725822824417104
p_auc_20_std,1.1102230246251565e-16
p_auc_30_avg,0.980646317017678
p_auc_30_std,0.0
recall_avg,0.44266666666666665
recall_std,0.0
