,"{'n_components': 1, 'standardization': True, 'svd_solver': 'full', 'weighted': True, 'whiten': True}"
best_classifier_training_time,0.3536311609859695
best_classifier_inference_time,0.11466493599800742
best_classifier_recall,0.11173184357541899
best_classifier_precision,0.12578616352201258
best_classifier_f1,0.1183431952662722
best_classifier_TN,18762
best_classifier_FP,139
best_classifier_FN,159
best_classifier_TP,20
best_classifier_auc,0.5871026303181026
best_classifier_p_auc_10,0.5587063876219764
best_classifier_p_auc_20,0.5541801147479839
best_classifier_p_auc_30,0.5485203068662435
training_time_avg,0.33307133779599096
inference_time_avg,0.11208053039590596
auc_avg,0.5871026303181026
auc_std,0.0
p_auc_10_avg,0.5587063876219764
p_auc_10_std,0.0
p_auc_20_avg,0.5541801147479839
p_auc_20_std,0.0
p_auc_30_avg,0.5485203068662435
p_auc_30_std,0.0
recall_avg,0.11173184357541899
recall_std,0.0
