,"{'n_components': 1, 'standardization': True, 'svd_solver': 'full', 'weighted': False, 'whiten': True}"
best_classifier_training_time,0.21600366299389862
best_classifier_inference_time,0.08157890800794121
best_classifier_recall,0.0707070707070707
best_classifier_precision,0.0014931740614334472
best_classifier_f1,0.0029245874242740757
best_classifier_TN,465811
best_classifier_FP,4681
best_classifier_FN,92
best_classifier_TP,7
best_classifier_auc,0.791193897005473
best_classifier_p_auc_10,0.6143129784129105
best_classifier_p_auc_20,0.6514747086205617
best_classifier_p_auc_30,0.7027136620145891
training_time_avg,0.21939314359769924
inference_time_avg,0.07681942920171422
auc_avg,0.791193897005473
auc_std,0.0
p_auc_10_avg,0.6143129784129105
p_auc_10_std,0.0
p_auc_20_avg,0.6514747086205617
p_auc_20_std,0.0
p_auc_30_avg,0.7027136620145891
p_auc_30_std,0.0
recall_avg,0.0707070707070707
recall_std,0.0
