,"{'n_components': 1, 'standardization': True, 'svd_solver': 'full', 'weighted': False, 'whiten': True}"
best_classifier_training_time,0.18433785299566807
best_classifier_inference_time,0.06955936700978782
best_classifier_recall,0.47474747474747475
best_classifier_precision,0.00983469345051266
best_classifier_f1,0.019270192701927022
best_classifier_TN,465760
best_classifier_FP,4732
best_classifier_FN,52
best_classifier_TP,47
best_classifier_auc,0.6770374137470708
best_classifier_p_auc_10,0.7756115135380379
best_classifier_p_auc_20,0.7828970421897967
best_classifier_p_auc_30,0.7794107859703774
training_time_avg,0.1785742990017752
inference_time_avg,0.0673977181999362
auc_avg,0.6770374137470708
auc_std,0.0
p_auc_10_avg,0.7756115135380379
p_auc_10_std,0.0
p_auc_20_avg,0.7828970421897967
p_auc_20_std,0.0
p_auc_30_avg,0.7794107859703774
p_auc_30_std,0.0
recall_avg,0.47474747474747475
recall_std,0.0
