,"{'alpha': 0.6, 'beta': 2, 'n_clusters': 4, 'use_weights': True}"
best_classifier_training_time,4.359013514003891
best_classifier_inference_time,0.3688876399974106
best_classifier_recall,0.0707070707070707
best_classifier_precision,0.0016924564796905223
best_classifier_f1,0.0033057851239669425
best_classifier_TN,846403
best_classifier_FP,8258
best_classifier_FN,184
best_classifier_TP,14
best_classifier_auc,0.8659584905535054
best_classifier_p_auc_10,0.6489821551128513
best_classifier_p_auc_20,0.7245066897317908
best_classifier_p_auc_30,0.7842522852277322
training_time_avg,4.469776096801797
inference_time_avg,0.37483059160003906
auc_avg,0.866033771154749
auc_std,6.146635352552782e-05
p_auc_10_avg,0.6477714956767956
p_auc_10_std,0.000988499290207309
p_auc_20_avg,0.7234648093307258
p_auc_20_std,0.0008506917852051339
p_auc_30_avg,0.7840209349211508
p_auc_30_std,0.0001888967343202321
recall_avg,0.07373737373737374
recall_std,0.002474232063417354
