,"{'n_components': 2, 'standardization': True, 'svd_solver': 'full', 'weighted': False, 'whiten': True}"
best_classifier_training_time,2.6325125369939997
best_classifier_inference_time,0.9398008359967207
best_classifier_recall,0.5969868173258004
best_classifier_precision,0.05984519539361903
best_classifier_f1,0.10878517501715856
best_classifier_TN,524224
best_classifier_FP,4980
best_classifier_FN,214
best_classifier_TP,317
best_classifier_auc,0.9595256314387023
best_classifier_p_auc_10,0.8844630806622116
best_classifier_p_auc_20,0.9219558666892413
best_classifier_p_auc_30,0.9366002080346029
training_time_avg,2.6494520681979337
inference_time_avg,0.9465572315983082
auc_avg,0.9595256314387022
auc_std,1.1102230246251565e-16
p_auc_10_avg,0.8844630806622116
p_auc_10_std,0.0
p_auc_20_avg,0.9219558666892415
p_auc_20_std,1.1102230246251565e-16
p_auc_30_avg,0.9366002080346029
p_auc_30_std,0.0
recall_avg,0.5969868173258004
recall_std,0.0
