,"{'hidden_activation': 'tanh', 'hidden_neurons': [64, 32], 'use_ae': False}"
best_classifier_training_time,891.926792821987
best_classifier_inference_time,33.73357339699942
best_classifier_recall,0.46950092421441775
best_classifier_precision,0.048006048006048005
best_classifier_f1,0.0871056241426612
best_classifier_TN,524157
best_classifier_FP,5037
best_classifier_FN,287
best_classifier_TP,254
best_classifier_auc,0.93753522472221
best_classifier_p_auc_10,0.8634576639953846
best_classifier_p_auc_20,0.9103303928350199
best_classifier_p_auc_30,0.9274447027226552
training_time_avg,891.926792821987
inference_time_avg,33.73357339699942
auc_avg,0.93753522472221
auc_std,0.0
p_auc_10_avg,0.8634576639953846
p_auc_10_std,0.0
p_auc_20_avg,0.9103303928350199
p_auc_20_std,0.0
p_auc_30_avg,0.9274447027226552
p_auc_30_std,0.0
recall_avg,0.46950092421441775
recall_std,0.0
