,"{'max_samples': 128, 'n_estimators': 50}"
best_classifier_training_time,11.782990931998938
best_classifier_inference_time,6.171017004002351
best_classifier_recall,0.23232323232323232
best_classifier_precision,0.004898828541001065
best_classifier_f1,0.009595327492699207
best_classifier_TN,465820
best_classifier_FP,4672
best_classifier_FN,76
best_classifier_TP,23
best_classifier_auc,0.9631596264971539
best_classifier_p_auc_10,0.8138858345229101
best_classifier_p_auc_20,0.8984658040178644
best_classifier_p_auc_30,0.9277639735238314
training_time_avg,11.539688726799795
inference_time_avg,5.730652854801155
auc_avg,0.961410767340305
auc_std,0.0018775088490198312
p_auc_10_avg,0.8039398015249603
p_auc_10_std,0.010052343669101543
p_auc_20_avg,0.8929677220282232
p_auc_20_std,0.0053718436977587625
p_auc_30_avg,0.9243348379221665
p_auc_30_std,0.003681389900038979
recall_avg,0.2707070707070707
recall_std,0.037469165638366476
