,"{'alpha': 0.6, 'beta': 4, 'n_clusters': 4, 'use_weights': False}"
best_classifier_training_time,1.022310318999189
best_classifier_inference_time,0.16189411799996378
best_classifier_recall,0.11578947368421053
best_classifier_precision,0.029049295774647887
best_classifier_f1,0.04644616467276566
best_classifier_TN,131112
best_classifier_FP,1103
best_classifier_FN,252
best_classifier_TP,33
best_classifier_auc,0.8953393296803254
best_classifier_p_auc_10,0.7226928819540952
best_classifier_p_auc_20,0.7850554862240375
best_classifier_p_auc_30,0.8121039151610132
training_time_avg,1.0232701428002655
inference_time_avg,0.1668646783994518
auc_avg,0.8928779851531032
auc_std,0.001981684928681655
p_auc_10_avg,0.7061969234499074
p_auc_10_std,0.011570193007466895
p_auc_20_avg,0.7769943255755511
p_auc_20_std,0.005724931630317154
p_auc_30_avg,0.8091404486652642
p_auc_30_std,0.003189029682417043
recall_avg,0.11649122807017545
recall_std,0.0014035087719298234
