,"{'alpha': 0.2, 'beta': 2, 'n_clusters': 4, 'use_weights': False}"
best_classifier_training_time,6.849669565999648
best_classifier_inference_time,0.8088027119956678
best_classifier_recall,0.08080808080808081
best_classifier_precision,0.002443494196701283
best_classifier_f1,0.004743551734361103
best_classifier_TN,848129
best_classifier_FP,6532
best_classifier_FN,182
best_classifier_TP,16
best_classifier_auc,0.872141608417746
best_classifier_p_auc_10,0.7229559058358029
best_classifier_p_auc_20,0.7850945557268103
best_classifier_p_auc_30,0.81552781372149
training_time_avg,6.861393473598582
inference_time_avg,0.7967745573972934
auc_avg,0.8721416084177459
auc_std,1.1102230246251565e-16
p_auc_10_avg,0.7229559058358029
p_auc_10_std,0.0
p_auc_20_avg,0.7850945557268103
p_auc_20_std,0.0
p_auc_30_avg,0.81552781372149
p_auc_30_std,0.0
recall_avg,0.08080808080808081
recall_std,0.0
