,"{'alpha': 0.4, 'beta': 2, 'n_clusters': 6, 'use_weights': False}"
best_classifier_training_time,10.86954331599918
best_classifier_inference_time,1.369102128999657
best_classifier_recall,0.1564245810055866
best_classifier_precision,0.14736842105263157
best_classifier_f1,0.15176151761517617
best_classifier_TN,18739
best_classifier_FP,162
best_classifier_FN,151
best_classifier_TP,28
best_classifier_auc,0.9084221253996493
best_classifier_p_auc_10,0.7734185028628643
best_classifier_p_auc_20,0.8310428532004996
best_classifier_p_auc_30,0.856883010274248
training_time_avg,9.607671809207385
inference_time_avg,1.2783045516043785
auc_avg,0.9044761309959954
auc_std,0.002997572417703785
p_auc_10_avg,0.77008623260079
p_auc_10_std,0.0021596205937177457
p_auc_20_avg,0.8285907120150469
p_auc_20_std,0.0016775342205384112
p_auc_30_avg,0.8536468876008435
p_auc_30_std,0.0025163419878121932
recall_avg,0.1564245810055866
recall_std,0.0
