,"{'alpha': 0.2, 'beta': 2, 'n_clusters': 4, 'use_weights': False}"
best_classifier_training_time,0.822653752999031
best_classifier_inference_time,0.015861788000620436
best_classifier_recall,0.007692307692307693
best_classifier_precision,0.0030165912518853697
best_classifier_f1,0.004333694474539546
best_classifier_TN,65329
best_classifier_FP,661
best_classifier_FN,258
best_classifier_TP,2
best_classifier_auc,0.5605850245375172
best_classifier_p_auc_10,0.4843219405712925
best_classifier_p_auc_20,0.5119562922639146
best_classifier_p_auc_30,0.5609033499979543
training_time_avg,0.7451901911990717
inference_time_avg,0.018161406799481482
auc_avg,0.5605850245375172
auc_std,0.0
p_auc_10_avg,0.4843219405712925
p_auc_10_std,0.0
p_auc_20_avg,0.5119562922639146
p_auc_20_std,0.0
p_auc_30_avg,0.5609033499979543
p_auc_30_std,0.0
recall_avg,0.007692307692307693
recall_std,0.0
