,"{'n_components': 1, 'standardization': True, 'svd_solver': 'full', 'weighted': True, 'whiten': True}"
best_classifier_training_time,0.20158278100279858
best_classifier_inference_time,0.06027437499869848
best_classifier_recall,0.010101010101010102
best_classifier_precision,0.000223563603845294
best_classifier_f1,0.0004374453193350831
best_classifier_TN,466020
best_classifier_FP,4472
best_classifier_FN,98
best_classifier_TP,1
best_classifier_auc,0.7722201526070668
best_classifier_p_auc_10,0.6644604677584265
best_classifier_p_auc_20,0.7162567700341633
best_classifier_p_auc_30,0.7358171404301338
training_time_avg,0.18270205340086249
inference_time_avg,0.06888795060003758
auc_avg,0.7722201526070668
auc_std,0.0
p_auc_10_avg,0.6644604677584265
p_auc_10_std,0.0
p_auc_20_avg,0.7162567700341633
p_auc_20_std,0.0
p_auc_30_avg,0.7358171404301338
p_auc_30_std,0.0
recall_avg,0.010101010101010102
recall_std,0.0
