,"{'n_bins': 8, 'n_random_cuts': 25}"
best_classifier_training_time,12.77338644493284
best_classifier_inference_time,3.1964905540735344
best_classifier_recall,0.10101010101010101
best_classifier_precision,0.0021240441801189465
best_classifier_f1,0.004160599126274184
best_classifier_TN,465794
best_classifier_FP,4698
best_classifier_FN,89
best_classifier_TP,10
best_classifier_auc,0.7271401989080504
best_classifier_p_auc_10,0.5811257118189123
best_classifier_p_auc_20,0.6071155933402972
best_classifier_p_auc_30,0.6288050460191164
training_time_avg,12.77338644493284
inference_time_avg,3.1964905540735344
auc_avg,0.7271401989080504
auc_std,0.0
p_auc_10_avg,0.5811257118189123
p_auc_10_std,0.0
p_auc_20_avg,0.6071155933402972
p_auc_20_std,0.0
p_auc_30_avg,0.6288050460191164
p_auc_30_std,0.0
recall_avg,0.10101010101010101
recall_std,0.0
