,"{'max_samples': 1024, 'n_estimators': 10}"
best_classifier_training_time,0.4183154050006124
best_classifier_inference_time,0.1538937450004596
best_classifier_recall,0.08076923076923077
best_classifier_precision,0.03211009174311927
best_classifier_f1,0.045951859956236324
best_classifier_TN,65357
best_classifier_FP,633
best_classifier_FN,239
best_classifier_TP,21
best_classifier_auc,0.8628766304917994
best_classifier_p_auc_10,0.6485714921300961
best_classifier_p_auc_20,0.7175031756924426
best_classifier_p_auc_30,0.7545515978743389
training_time_avg,0.42169762720022846
inference_time_avg,0.15562466660012433
auc_avg,0.8603802499213167
auc_std,0.008732067920340373
p_auc_10_avg,0.6300518877124454
p_auc_10_std,0.015080289503629146
p_auc_20_avg,0.706661578146854
p_auc_20_std,0.015649379348669067
p_auc_30_avg,0.7501841688209352
p_auc_30_std,0.013734067022022104
recall_avg,0.046153846153846156
recall_std,0.03448694118686138
