,"{'n_components': 2, 'standardization': True, 'svd_solver': 'full', 'weighted': True, 'whiten': True}"
best_classifier_training_time,0.08214971999950649
best_classifier_inference_time,0.04096571399986715
best_classifier_recall,0.023060796645702306
best_classifier_precision,0.004154078549848943
best_classifier_f1,0.007039999999999999
best_classifier_TN,261886
best_classifier_FP,2637
best_classifier_FN,466
best_classifier_TP,11
best_classifier_auc,0.7277775047496398
best_classifier_p_auc_10,0.5744513111617519
best_classifier_p_auc_20,0.6952198538235439
best_classifier_p_auc_30,0.7388216931745754
training_time_avg,0.07760272220002662
inference_time_avg,0.039214930999878564
auc_avg,0.7277775047496398
auc_std,0.0
p_auc_10_avg,0.5744513111617519
p_auc_10_std,0.0
p_auc_20_avg,0.6952198538235439
p_auc_20_std,0.0
p_auc_30_avg,0.7388216931745754
p_auc_30_std,0.0
recall_avg,0.023060796645702306
recall_std,0.0
