,"{'n_bins': 10, 'n_random_cuts': 50}"
best_classifier_training_time,17.960363554964715
best_classifier_inference_time,4.10285685492272
best_classifier_recall,0.13131313131313133
best_classifier_precision,0.0027594990447887924
best_classifier_f1,0.005405405405405407
best_classifier_TN,465794
best_classifier_FP,4698
best_classifier_FN,86
best_classifier_TP,13
best_classifier_auc,0.670705056911411
best_classifier_p_auc_10,0.5964029541702097
best_classifier_p_auc_20,0.6036294630585288
best_classifier_p_auc_30,0.6050748017700259
training_time_avg,17.960363554964715
inference_time_avg,4.10285685492272
auc_avg,0.670705056911411
auc_std,0.0
p_auc_10_avg,0.5964029541702097
p_auc_10_std,0.0
p_auc_20_avg,0.6036294630585288
p_auc_20_std,0.0
p_auc_30_avg,0.6050748017700259
p_auc_30_std,0.0
recall_avg,0.13131313131313133
recall_std,0.0
