,"{'n_bins': 10, 'n_random_cuts': 25}"
best_classifier_training_time,18.869578445001025
best_classifier_inference_time,6.853504543000781
best_classifier_recall,0.020202020202020204
best_classifier_precision,0.0004681100058513751
best_classifier_f1,0.0009150177284684892
best_classifier_TN,846120
best_classifier_FP,8541
best_classifier_FN,194
best_classifier_TP,4
best_classifier_auc,0.687730830934101
best_classifier_p_auc_10,0.553885892675252
best_classifier_p_auc_20,0.5867219758154293
best_classifier_p_auc_30,0.6106451317265209
training_time_avg,18.869578445001025
inference_time_avg,6.853504543000781
auc_avg,0.687730830934101
auc_std,0.0
p_auc_10_avg,0.553885892675252
p_auc_10_std,0.0
p_auc_20_avg,0.5867219758154293
p_auc_20_std,0.0
p_auc_30_avg,0.6106451317265209
p_auc_30_std,0.0
recall_avg,0.020202020202020204
recall_std,0.0
