,"{'hidden_activation': 'tanh', 'hidden_neurons': [2, 1], 'use_ae': True}"
best_classifier_training_time,390.7027533340006
best_classifier_inference_time,23.93929282499448
best_classifier_recall,0.08585858585858586
best_classifier_precision,0.0021573604060913707
best_classifier_f1,0.004208962614508542
best_classifier_TN,846798
best_classifier_FP,7863
best_classifier_FN,181
best_classifier_TP,17
best_classifier_auc,0.9180268019079548
best_classifier_p_auc_10,0.736061559779377
best_classifier_p_auc_20,0.8280725474168255
best_classifier_p_auc_30,0.8662202453616277
training_time_avg,155.6801189035992
inference_time_avg,27.599830013599423
auc_avg,0.7560235377866579
auc_std,0.11094087042414962
p_auc_10_avg,0.6495638561969002
p_auc_10_std,0.055194593437145945
p_auc_20_avg,0.6861720964370588
p_auc_20_std,0.08231576284736808
p_auc_30_avg,0.7134347959460754
p_auc_30_std,0.0916985669770363
recall_avg,0.07676767676767676
recall_std,0.015778282173548795
