,"{'alpha': 0.2, 'beta': 2, 'n_clusters': 2, 'use_weights': False}"
best_classifier_training_time,1.043774242998552
best_classifier_inference_time,0.1765111570020963
best_classifier_recall,0.20088626292466766
best_classifier_precision,0.00862314935167866
best_classifier_f1,0.01653646229139435
best_classifier_TN,3145520
best_classifier_FP,31271
best_classifier_FN,1082
best_classifier_TP,272
best_classifier_auc,0.9720590639949257
best_classifier_p_auc_10,0.8529424420785557
best_classifier_p_auc_20,0.9223862888747935
best_classifier_p_auc_30,0.9452138509704423
training_time_avg,1.1763073699987217
inference_time_avg,0.18125407600073232
auc_avg,0.9720402908352413
auc_std,2.422397556669696e-05
p_auc_10_avg,0.8528436359749539
p_auc_10_std,0.0001274946082457471
p_auc_20_avg,0.9223341412090035
p_auc_20_std,6.728882101867887e-05
p_auc_30_avg,0.9451770408534144
p_auc_30_std,4.749799130719905e-05
recall_avg,0.20044313146233383
recall_std,0.000886262924667658
