,"{'max_samples': 128, 'n_estimators': 1}"
best_classifier_training_time,0.1703688659999898
best_classifier_inference_time,0.0759533910004393
best_classifier_recall,0.0
best_classifier_precision,0.0
best_classifier_f1,0.0
best_classifier_TN,263728
best_classifier_FP,794
best_classifier_FN,478
best_classifier_TP,0
best_classifier_auc,0.8806266052678458
best_classifier_p_auc_10,0.6007779675205419
best_classifier_p_auc_20,0.7001603159254679
best_classifier_p_auc_30,0.7668214053862836
training_time_avg,0.16870334520026517
inference_time_avg,0.07560763179990318
auc_avg,0.8721396372691388
auc_std,0.008555596501504758
p_auc_10_avg,0.578339965499285
p_auc_10_std,0.019513084934582026
p_auc_20_avg,0.6813803045240299
p_auc_20_std,0.0222583632742504
p_auc_30_avg,0.7510666619980887
p_auc_30_std,0.017518979025275435
recall_avg,0.0016736401673640166
recall_std,0.0033472803347280337
