,"{'n_bins': 20, 'n_random_cuts': 25}"
best_classifier_training_time,6.043107034998684
best_classifier_inference_time,4.161778231999051
best_classifier_recall,0.03175775480059084
best_classifier_precision,0.0057842345977939195
best_classifier_f1,0.00978607191624943
best_classifier_TN,3169400
best_classifier_FP,7391
best_classifier_FN,1311
best_classifier_TP,43
best_classifier_auc,0.9705040571707753
best_classifier_p_auc_10,0.8447581956356589
best_classifier_p_auc_20,0.9180668254743756
best_classifier_p_auc_30,0.9421648179819122
training_time_avg,6.043107034998684
inference_time_avg,4.161778231999051
auc_avg,0.9705040571707753
auc_std,0.0
p_auc_10_avg,0.8447581956356589
p_auc_10_std,0.0
p_auc_20_avg,0.9180668254743756
p_auc_20_std,0.0
p_auc_30_avg,0.9421648179819122
p_auc_30_std,0.0
recall_avg,0.03175775480059084
recall_std,0.0
