,"{'alpha': 0.8, 'beta': 2, 'n_clusters': 3, 'use_weights': False}"
best_classifier_training_time,7.864041297023505
best_classifier_inference_time,1.4612328489965876
best_classifier_recall,0.5268022181146026
best_classifier_precision,0.05384470054789344
best_classifier_f1,0.09770311964346931
best_classifier_TN,524186
best_classifier_FP,5008
best_classifier_FN,256
best_classifier_TP,285
best_classifier_auc,0.9760163779078618
best_classifier_p_auc_10,0.8945760905075318
best_classifier_p_auc_20,0.9336895852389069
best_classifier_p_auc_30,0.9529732900154153
training_time_avg,8.121703356823128
inference_time_avg,1.462961680596345
auc_avg,0.9774416916258035
auc_std,0.0007249533844733261
p_auc_10_avg,0.8914467581033678
p_auc_10_std,0.0017354237444320959
p_auc_20_avg,0.9374016677433726
p_auc_20_std,0.0018926109610293517
p_auc_30_avg,0.9557680227956933
p_auc_30_std,0.0014214772244574478
recall_avg,0.5234750462107209
recall_std,0.0027166244836781812
