,"{'n_bins': 6, 'n_random_cuts': 25}"
best_classifier_training_time,4.636839977982163
best_classifier_inference_time,1.267612867994103
best_classifier_recall,0.0670391061452514
best_classifier_precision,0.06315789473684211
best_classifier_f1,0.06504065040650406
best_classifier_TN,18723
best_classifier_FP,178
best_classifier_FN,167
best_classifier_TP,12
best_classifier_auc,0.906741359491783
best_classifier_p_auc_10,0.7106763493111424
best_classifier_p_auc_20,0.8052204352312916
best_classifier_p_auc_30,0.8465191231787328
training_time_avg,4.636839977982163
inference_time_avg,1.267612867994103
auc_avg,0.906741359491783
auc_std,0.0
p_auc_10_avg,0.7106763493111424
p_auc_10_std,0.0
p_auc_20_avg,0.8052204352312916
p_auc_20_std,0.0
p_auc_30_avg,0.8465191231787328
p_auc_30_std,0.0
recall_avg,0.0670391061452514
recall_std,0.0
