,"{'hidden_activation': 'tanh', 'hidden_neurons': [64, 32], 'use_ae': False}"
best_classifier_training_time,999.0945108679953
best_classifier_inference_time,22.08141356105625
best_classifier_recall,0.17894736842105263
best_classifier_precision,0.038577912254160365
best_classifier_f1,0.06347230864965775
best_classifier_TN,130944
best_classifier_FP,1271
best_classifier_FN,234
best_classifier_TP,51
best_classifier_auc,0.9400384275744386
best_classifier_p_auc_10,0.8379453371524855
best_classifier_p_auc_20,0.9037821909629593
best_classifier_p_auc_30,0.9253079892843745
training_time_avg,999.0945108679953
inference_time_avg,22.08141356105625
auc_avg,0.9400384275744386
auc_std,0.0
p_auc_10_avg,0.8379453371524855
p_auc_10_std,0.0
p_auc_20_avg,0.9037821909629593
p_auc_20_std,0.0
p_auc_30_avg,0.9253079892843745
p_auc_30_std,0.0
recall_avg,0.17894736842105263
recall_std,0.0
