,"{'max_samples': 1024, 'n_estimators': 1}"
best_classifier_training_time,0.02997425900048256
best_classifier_inference_time,0.012305770999773813
best_classifier_recall,0.0111731843575419
best_classifier_precision,0.018691588785046728
best_classifier_f1,0.013986013986013986
best_classifier_TN,18796
best_classifier_FP,105
best_classifier_FN,177
best_classifier_TP,2
best_classifier_auc,0.6547992347069218
best_classifier_p_auc_10,0.578219897054063
best_classifier_p_auc_20,0.6204290965460825
best_classifier_p_auc_30,0.6554647606106163
training_time_avg,0.033170434999919965
inference_time_avg,0.012162531799731369
auc_avg,0.66084059280952
auc_std,0.05824984730866671
p_auc_10_avg,0.5375293100362482
p_auc_10_std,0.023380540539646836
p_auc_20_avg,0.5787083649379416
p_auc_20_std,0.03680176929909886
p_auc_30_avg,0.6156398314834288
p_auc_30_std,0.0456760029607178
recall_avg,0.00558659217877095
recall_std,0.0035332711286797536
