,{}
best_classifier_training_time,0.22585367699866765
best_classifier_inference_time,0.3945660429999407
best_classifier_recall,0.006289308176100629
best_classifier_precision,0.0011376564277588168
best_classifier_f1,0.0019267822736030828
best_classifier_TN,261889
best_classifier_FP,2634
best_classifier_FN,474
best_classifier_TP,3
best_classifier_auc,0.8481400217634731
best_classifier_p_auc_10,0.5454399594525914
best_classifier_p_auc_20,0.629282884774608
best_classifier_p_auc_30,0.703603682151835
training_time_avg,0.22585367699866765
inference_time_avg,0.3945660429999407
auc_avg,0.8481400217634731
auc_std,0.0
p_auc_10_avg,0.5454399594525914
p_auc_10_std,0.0
p_auc_20_avg,0.629282884774608
p_auc_20_std,0.0
p_auc_30_avg,0.703603682151835
p_auc_30_std,0.0
recall_avg,0.006289308176100629
recall_std,0.0
