,best_classifier_training_time,best_classifier_inference_time,best_classifier_recall,best_classifier_precision,best_classifier_f1,best_classifier_TN,best_classifier_FP,best_classifier_FN,best_classifier_TP,best_classifier_auc,best_classifier_p_auc_10,best_classifier_p_auc_20,best_classifier_p_auc_30,training_time_avg,inference_time_avg,auc_avg,auc_std,p_auc_10_avg,p_auc_10_std,p_auc_20_avg,p_auc_20_std,p_auc_30_avg,p_auc_30_std,recall_avg,recall_std
"{'hidden_activation': 'relu', 'hidden_neurons': [64, 32], 'use_ae': False}",50.86034559700056,10.80962345700027,0.0188679245283018,0.0034026465028355,0.0057655349135169,261887.0,2636.0,468.0,9.0,0.8863868019672069,0.5805483081507433,0.7076343132420082,0.783211390951301,50.26384063899896,9.892995543598952,0.7471021177782206,0.086412616423426,0.5231316150806364,0.029892376786667,0.5951093395471782,0.0638486303342319,0.6719995619130306,0.0612823329969654,0.010901467505241,0.0040651403416489
"{'hidden_activation': 'relu', 'hidden_neurons': [2, 1], 'use_ae': True}",32.317653092,8.622700243000054,0.006289308176100629,0.006423982869379015,0.00635593220338983,264059.0,464.0,474.0,3.0,0.8297252962060081,0.5544735625655489,0.6144967605431331,0.6816179830650217,57.28676029220005,9.527879469399887,0.5581055622837773,0.1839338429247601,0.5108517841942064,0.0220940357235031,0.5283405904493925,0.04587268227454195,0.5551492978561413,0.08119051538252048,0.006289308176100629,0.003977707748639471
"{'hidden_activation': 'relu', 'hidden_neurons': [2, 1], 'use_ae': False}",25.008580676999827,10.310278357000243,0.006289308176100629,0.0011342155009451795,0.0019218449711723253,261881.0,2642.0,474.0,3.0,0.8582684305029382,0.558162614351413,0.6533481577089323,0.7234688772331856,33.494026012999804,9.233379053400132,0.6036593529442351,0.1456534669219705,0.5100533864066101,0.024199302922091527,0.5319695274217345,0.06079118164499074,0.5624101070907797,0.08813857634282513,0.003773584905660378,0.004065140341648913
"{'hidden_activation': 'sigmoid', 'hidden_neurons': [64, 32], 'use_ae': False}",47.25780558399947,8.263351571000385,0.008385744234800839,0.0015157256536566881,0.0025673940949935813,261888.0,2635.0,473.0,4.0,0.8450267124152456,0.5647481974498219,0.6497101194219771,0.7375253600184315,49.935822284999816,9.741859853999994,0.5617833820746018,0.16057174074826483,0.5513245471185702,0.008878624029974035,0.6101833004308594,0.028766738591243887,0.6373600973194211,0.06357428688034929,0.006708595387840671,0.0024448435617800005
"{'hidden_activation': 'sigmoid', 'hidden_neurons': [2, 1], 'use_ae': True}",28.012653021000006,10.292546975000732,0.025157232704402517,0.004554079696394687,0.007712082262210796,261900.0,2623.0,465.0,12.0,0.7561176194441239,0.6105154419892022,0.7086929823012718,0.7570804668216786,48.648960956800146,8.695122555800117,0.5537426051279788,0.2708911325177808,0.5414365457251834,0.050992616960377914,0.5954921798396441,0.09931970634855473,0.621863214316206,0.1367462373445834,0.009224318658280923,0.008854805904378565
"{'hidden_activation': 'sigmoid', 'hidden_neurons': [2, 1], 'use_ae': False}",23.655623730000116,10.293869244000234,0.0859538784067086,0.015763168012302962,0.026640675763482783,261963.0,2560.0,436.0,41.0,0.7362034978494694,0.6554494193592002,0.7374816112070522,0.7702977854913267,31.1636207046,9.851379894199999,0.6579733247308467,0.2442881820529253,0.5692175535214072,0.05048340599074254,0.6340838615758558,0.0869869878669924,0.6698507717159043,0.11166932955336221,0.023480083857442345,0.03135976847180739
"{'hidden_activation': 'tanh', 'hidden_neurons': [64, 32], 'use_ae': False}",57.45384633499998,8.380695543000002,0.010482180293501049,0.0018882175226586104,0.0032,261880.0,2643.0,472.0,5.0,0.8776197971189326,0.5887544690713322,0.7013187657107363,0.7614073232468489,53.04754603879992,9.5093215152001,0.8342158997623276,0.022438629308574577,0.5265524891497899,0.03145276958596236,0.5970601929704982,0.053291204498952714,0.6762746040709731,0.04400706312406477,0.00838574423480084,0.0022965306394346586
"{'hidden_activation': 'tanh', 'hidden_neurons': [2, 1], 'use_ae': True}",26.859751089000383,10.297032501000103,0.025157232704402517,0.0045385779122541605,0.00768984299903877,261891.0,2632.0,465.0,12.0,0.8790133541351449,0.572116721241278,0.6847925213210209,0.7629279760142558,36.5916036038001,9.411150632599856,0.7287973207197977,0.09406916330098708,0.5329963680254195,0.028233868642294126,0.5988902341460802,0.051864337918319264,0.6696746426620134,0.05658275284288369,0.016771488469601675,0.007140203927013166
"{'hidden_activation': 'tanh', 'hidden_neurons': [2, 1], 'use_ae': False}",60.240385920000335,8.090494140999908,0.010482180293501049,0.0018882175226586104,0.0032,261880.0,2643.0,472.0,5.0,0.8776108256282931,0.5886488043498939,0.7012952318387946,0.7614019397341628,35.251751166600116,8.378291252199961,0.8445194649685124,0.03405531001851495,0.5485281269759642,0.03450857366486463,0.6295468180190842,0.06159700339545336,0.7054719919945314,0.05576923338824221,0.015513626834381553,0.008021436674930394
